,year,speaker_name,by_male,by_female,by_male_judge,by_female_judge,by_male_lawyer,by_female_lawyer,by_male_n,by_female_n,by_male_judge_n,by_female_judge_n,by_male_lawyer_n,by_female_lawyer_n
0,1998,Ruth Bader Ginsburg,546,163,41,0,505,163,0.34108040201,0.799019607843,0.33064516129,0.0,0.343303874915,0.799019607843
1,1998,Anthony M. Kennedy,687,81,87,0,600,81,0.429648241206,0.397058823529,0.701612903226,0.0,0.407885791978,0.397058823529
2,1998,Stephen G. Breyer,677,75,22,0,655,75,0.423366834171,0.367647058824,0.177419354839,0.0,0.44527532291,0.367647058824
3,1998,John Paul Stevens,718,24,48,0,670,24,0.449120603015,0.117647058824,0.387096774194,0.0,0.455472467709,0.117647058824
4,1998,David H. Souter,523,103,22,0,501,103,0.326633165829,0.504901960784,0.177419354839,0.0,0.340584636302,0.504901960784
5,1998,William H. Rehnquist,527,44,80,0,447,44,0.329145728643,0.21568627451,0.645161290323,0.0,0.303874915024,0.21568627451
6,1998,Antonin Scalia,1595,204,124,0,1471,204,1.0,1.0,1.0,0.0,1.0,1.0
7,1998,Clarence Thomas,12,0,0,0,12,0,0.00565326633166,0.0,0.0,0.0,0.00815771583956,0.0
8,1998,"John G. Roberts, Jr.",3,0,3,0,0,0,0.0,0.0,0.0241935483871,0.0,0.0,0.0
9,1999,Ruth Bader Ginsburg,111,19,11,0,100,19,0.371527777778,0.218390804598,0.25,0.0,0.384615384615,0.22619047619
10,1999,Anthony M. Kennedy,117,29,16,2,101,27,0.392361111111,0.333333333333,0.428571428571,0.666666666667,0.388461538462,0.321428571429
11,1999,Stephen G. Breyer,164,25,8,0,156,25,0.555555555556,0.287356321839,0.142857142857,0.0,0.6,0.297619047619
12,1999,John Paul Stevens,118,17,13,1,105,16,0.395833333333,0.195402298851,0.321428571429,0.333333333333,0.403846153846,0.190476190476
13,1999,David H. Souter,134,31,8,3,126,28,0.451388888889,0.35632183908,0.142857142857,1.0,0.484615384615,0.333333333333
14,1999,William H. Rehnquist,144,26,24,3,120,23,0.486111111111,0.298850574713,0.714285714286,1.0,0.461538461538,0.27380952381
15,1999,Antonin Scalia,292,87,32,3,260,84,1.0,1.0,1.0,1.0,1.0,1.0
16,1999,"John G. Roberts, Jr.",4,0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
17,2003,Ruth Bader Ginsburg,166,26,7,0,159,26,0.182186234818,0.326530612245,0.136363636364,0.0,0.204347826087,0.326530612245
18,2003,Anthony M. Kennedy,151,22,15,0,136,22,0.121457489879,0.244897959184,0.5,0.0,0.104347826087,0.244897959184
19,2003,Stephen G. Breyer,172,26,11,0,161,26,0.206477732794,0.326530612245,0.318181818182,0.0,0.213043478261,0.326530612245
20,2003,David H. Souter,140,19,4,0,136,19,0.0769230769231,0.183673469388,0.0,0.0,0.104347826087,0.183673469388
21,2003,William H. Rehnquist,121,17,9,0,112,17,0.0,0.142857142857,0.227272727273,0.0,0.0,0.142857142857
22,2003,Antonin Scalia,368,59,26,0,342,59,1.0,1.0,1.0,0.0,1.0,1.0
23,2003,John Paul Stevens,193,10,17,0,176,10,0.291497975709,0.0,0.590909090909,0.0,0.278260869565,0.0
24,2004,Anthony M. Kennedy,145,16,33,0,112,16,0.382653061224,0.909090909091,0.538461538462,0.0,0.326388888889,0.909090909091
25,2004,Stephen G. Breyer,206,15,20,0,186,15,0.69387755102,0.818181818182,0.288461538462,0.0,0.840277777778,0.818181818182
26,2004,John Paul Stevens,169,12,28,0,141,12,0.505102040816,0.545454545455,0.442307692308,0.0,0.527777777778,0.545454545455
27,2004,David H. Souter,203,15,20,0,183,15,0.678571428571,0.818181818182,0.288461538462,0.0,0.819444444444,0.818181818182
28,2004,William H. Rehnquist,70,6,5,0,65,6,0.0,0.0,0.0,0.0,0.0,0.0
29,2004,Antonin Scalia,266,17,57,0,209,17,1.0,1.0,1.0,0.0,1.0,1.0
30,2004,Ruth Bader Ginsburg,154,15,15,0,139,15,0.428571428571,0.818181818182,0.192307692308,0.0,0.513888888889,0.818181818182
31,2005,Ruth Bader Ginsburg,16,2,2,0,14,2,0.714285714286,0.666666666667,0.666666666667,0.0,0.619047619048,0.666666666667
32,2005,Anthony M. Kennedy,14,3,3,0,11,3,0.619047619048,1.0,1.0,0.0,0.47619047619,1.0
33,2005,David H. Souter,11,2,1,0,10,2,0.47619047619,0.666666666667,0.333333333333,0.0,0.428571428571,0.666666666667
34,2005,Stephen G. Breyer,22,2,1,0,21,2,1.0,0.666666666667,0.333333333333,0.0,0.952380952381,0.666666666667
35,2005,John Paul Stevens,22,1,0,0,22,1,1.0,0.333333333333,0.0,0.0,1.0,0.333333333333
36,2005,"John G. Roberts, Jr.",14,3,2,0,12,3,0.619047619048,1.0,0.666666666667,0.0,0.52380952381,1.0
37,2005,Antonin Scalia,20,0,3,0,17,0,0.904761904762,0.0,1.0,0.0,0.761904761905,0.0
38,2005,"Samuel A. Alito, Jr.",1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
39,2006,Anthony M. Kennedy,112,19,8,0,104,19,0.455128205128,0.365853658537,0.538461538462,0.0,0.447552447552,0.365853658537
40,2006,Ruth Bader Ginsburg,114,17,4,0,110,17,0.467948717949,0.317073170732,0.230769230769,0.0,0.48951048951,0.317073170732
41,2006,"John G. Roberts, Jr.",168,45,11,0,157,45,0.814102564103,1.0,0.769230769231,0.0,0.818181818182,1.0
42,2006,Stephen G. Breyer,154,22,6,0,148,22,0.724358974359,0.439024390244,0.384615384615,0.0,0.755244755245,0.439024390244
43,2006,John Paul Stevens,117,24,10,0,107,24,0.487179487179,0.487804878049,0.692307692308,0.0,0.468531468531,0.487804878049
44,2006,Antonin Scalia,197,20,14,0,183,20,1.0,0.390243902439,1.0,0.0,1.0,0.390243902439
45,2006,"Samuel A. Alito, Jr.",41,4,1,0,40,4,0.0,0.0,0.0,0.0,0.0,0.0
46,2006,David H. Souter,87,17,4,0,83,17,0.294871794872,0.317073170732,0.230769230769,0.0,0.300699300699,0.317073170732
47,2007,Ruth Bader Ginsburg,103,29,7,0,96,29,0.465277777778,0.527777777778,0.6,0.0,0.455223880597,0.575757575758
48,2007,Anthony M. Kennedy,96,32,3,2,93,30,0.416666666667,0.611111111111,0.2,0.666666666667,0.432835820896,0.606060606061
49,2007,David H. Souter,61,16,6,0,55,16,0.173611111111,0.166666666667,0.5,0.0,0.149253731343,0.181818181818
50,2007,Stephen G. Breyer,84,16,8,0,76,16,0.333333333333,0.166666666667,0.7,0.0,0.305970149254,0.181818181818
51,2007,John Paul Stevens,50,12,6,1,44,11,0.0972222222222,0.0555555555556,0.5,0.333333333333,0.0671641791045,0.030303030303
52,2007,"John G. Roberts, Jr.",149,45,1,2,148,43,0.784722222222,0.972222222222,0.0,0.666666666667,0.84328358209,1.0
53,2007,"Samuel A. Alito, Jr.",36,10,1,0,35,10,0.0,0.0,0.0,0.0,0.0,0.0
54,2007,Antonin Scalia,180,46,11,3,169,43,1.0,1.0,1.0,1.0,1.0,1.0
55,2008,Ruth Bader Ginsburg,115,12,12,0,103,12,0.467741935484,0.434782608696,0.692307692308,0.0,0.418803418803,0.434782608696
56,2008,Stephen G. Breyer,153,11,8,0,145,11,0.774193548387,0.391304347826,0.384615384615,0.0,0.777777777778,0.391304347826
57,2008,John Paul Stevens,87,9,5,0,82,9,0.241935483871,0.304347826087,0.153846153846,0.0,0.239316239316,0.304347826087
58,2008,"John G. Roberts, Jr.",181,11,10,0,171,11,1.0,0.391304347826,0.538461538462,0.0,1.0,0.391304347826
59,2008,"Samuel A. Alito, Jr.",57,2,3,0,54,2,0.0,0.0,0.0,0.0,0.0,0.0
60,2008,Anthony M. Kennedy,99,9,16,0,83,9,0.338709677419,0.304347826087,1.0,0.0,0.247863247863,0.304347826087
61,2008,David H. Souter,123,7,8,0,115,7,0.532258064516,0.217391304348,0.384615384615,0.0,0.521367521368,0.217391304348
62,2008,Antonin Scalia,180,25,14,0,166,25,0.991935483871,1.0,0.846153846154,0.0,0.957264957265,1.0
63,2009,Ruth Bader Ginsburg,141,18,13,0,128,18,0.652582159624,0.45,0.392857142857,0.0,0.691891891892,0.45
64,2009,Stephen G. Breyer,119,40,12,0,107,40,0.549295774648,1.0,0.357142857143,0.0,0.578378378378,1.0
65,2009,Anthony M. Kennedy,89,18,18,0,71,18,0.408450704225,0.45,0.571428571429,0.0,0.383783783784,0.45
66,2009,"John G. Roberts, Jr.",148,25,10,0,138,25,0.68544600939,0.625,0.285714285714,0.0,0.745945945946,0.625
67,2009,Sonia Sotomayor,131,20,9,0,122,20,0.605633802817,0.5,0.25,0.0,0.659459459459,0.5
68,2009,John Paul Stevens,67,19,10,0,57,19,0.305164319249,0.475,0.285714285714,0.0,0.308108108108,0.475
69,2009,"Samuel A. Alito, Jr.",49,11,4,0,45,11,0.220657276995,0.275,0.0714285714286,0.0,0.243243243243,0.275
70,2009,Antonin Scalia,215,37,30,0,185,37,1.0,0.925,1.0,0.0,1.0,0.925
71,2009,Elena Kagan,2,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
72,2010,Ruth Bader Ginsburg,68,11,4,4,64,7,0.36170212766,0.16,0.333333333333,0.4,0.386363636364,0.181818181818
73,2010,Anthony M. Kennedy,41,17,6,8,35,9,0.0744680851064,0.4,0.555555555556,0.8,0.0568181818182,0.272727272727
74,2010,"John G. Roberts, Jr.",69,32,2,7,67,25,0.372340425532,1.0,0.111111111111,0.7,0.420454545455,1.0
75,2010,Stephen G. Breyer,78,12,4,1,74,11,0.468085106383,0.2,0.333333333333,0.1,0.5,0.363636363636
76,2010,Sonia Sotomayor,108,7,10,0,98,7,0.787234042553,0.0,1.0,0.0,0.772727272727,0.181818181818
77,2010,"Samuel A. Alito, Jr.",36,12,1,2,35,10,0.0212765957447,0.2,0.0,0.2,0.0568181818182,0.318181818182
78,2010,Antonin Scalia,128,31,10,10,118,21,1.0,0.96,1.0,1.0,1.0,0.818181818182
79,2010,Elena Kagan,34,10,4,7,30,3,0.0,0.12,0.333333333333,0.7,0.0,0.0
80,2011,Ruth Bader Ginsburg,94,24,10,10,84,14,0.144230769231,0.391304347826,1.0,0.368421052632,0.127450980392,0.2
81,2011,Anthony M. Kennedy,81,36,4,22,77,14,0.0192307692308,0.913043478261,0.25,1.0,0.0588235294118,0.2
82,2011,"John G. Roberts, Jr.",113,38,7,18,106,20,0.326923076923,1.0,0.625,0.789473684211,0.343137254902,0.8
83,2011,Stephen G. Breyer,126,15,2,3,124,12,0.451923076923,0.0,0.0,0.0,0.519607843137,0.0
84,2011,"Samuel A. Alito, Jr.",79,19,4,4,75,15,0.0,0.173913043478,0.25,0.0526315789474,0.0392156862745,0.3
85,2011,Sonia Sotomayor,183,27,10,7,173,20,1.0,0.521739130435,1.0,0.210526315789,1.0,0.8
86,2011,Antonin Scalia,164,33,7,11,157,22,0.817307692308,0.782608695652,0.625,0.421052631579,0.843137254902,1.0
87,2011,Elena Kagan,81,17,10,3,71,14,0.0192307692308,0.0869565217391,1.0,0.0,0.0,0.2
88,2012,Ruth Bader Ginsburg,15,4,0,0,15,4,0.538461538462,0.6,0.0,0.0,0.615384615385,0.8
89,2012,Anthony M. Kennedy,18,6,0,1,18,5,0.769230769231,1.0,0.0,0.5,0.846153846154,1.0
90,2012,"John G. Roberts, Jr.",15,2,1,1,14,1,0.538461538462,0.2,1.0,0.5,0.538461538462,0.2
91,2012,Stephen G. Breyer,14,1,0,1,14,0,0.461538461538,0.0,0.0,0.5,0.538461538462,0.0
92,2012,"Samuel A. Alito, Jr.",8,1,1,0,7,1,0.0,0.0,1.0,0.0,0.0,0.2
93,2012,Sonia Sotomayor,21,3,1,0,20,3,1.0,0.4,1.0,0.0,1.0,0.6
94,2012,Elena Kagan,10,4,0,2,10,2,0.153846153846,0.6,0.0,1.0,0.230769230769,0.4
95,2012,Antonin Scalia,8,5,0,1,8,4,0.0,0.8,0.0,0.5,0.0769230769231,0.8
